DATE,HNFSEPUSSA
2000-01-01,923
2000-04-01,916
2000-07-01,905
2000-10-01,904
2001-01-01,884
2001-04-01,890
2001-07-01,923
2001-10-01,924
2002-01-01,939
2002-04-01,979
2002-07-01,1000
2002-10-01,1012
2003-01-01,1020
2003-04-01,1026
2003-07-01,1038
2003-10-01,1097
2004-01-01,1127
2004-04-01,1149
2004-07-01,1215
2004-10-01,1253
2005-01-01,1332
2005-04-01,1350
2005-07-01,1427
2005-10-01,1503
2006-01-01,1614
2006-04-01,1696
2006-07-01,1697
2006-10-01,1633
2007-01-01,1627
2007-04-01,1635
2007-07-01,1597
2007-10-01,1514
2008-01-01,1434
2008-04-01,1344
2008-07-01,1223
2008-10-01,1105
2009-01-01,978
2009-04-01,871
2009-07-01,783
2009-10-01,714
2010-01-01,691
2010-04-01,645
2010-07-01,616
2010-10-01,584
2011-01-01,549
2011-04-01,507
2011-07-01,488
2011-10-01,464
2012-01-01,441
2012-04-01,433
2012-07-01,429
2012-10-01,447
2013-01-01,456.0
2013-04-01,485.0
2013-07-01,529.0
2013-10-01,553.0
2014-01-01,566.0
2014-04-01,583.0
2014-07-01,624.0
2014-10-01,630.0
2015-01-01,614.0
2015-04-01,633.0
2015-07-01,659.0
2015-10-01,687.0
2016-01-01,717.0
2016-04-01,727.0
2016-07-01,721.0
2016-10-01,751.0
2017-01-01,783
2017-04-01,813.0
2017-07-01,840
2017-10-01,866.0
2018-01-01,885.0
2018-04-01,911.0
2018-07-01,959
2018-10-01,1013.0
2019-01-01,1022
2019-04-01,999
2019-07-01,975
2019-10-01,965
2020-01-01,986
2020-04-01,936
2020-07-01,857
2020-10-01,870
